task:0 doing I/O,1705928904152870811,1705928904163609589,10.73800
task:0 waiting I/O,1705928904161650534,1705928904161653513,0.00200
task:1 doing I/O,1705928904153480550,1705928904165769645,12.28900
task:1 waiting I/O,1705928904163609997,1705928904163610254,0.00000
task:2 doing I/O,1705928904154448668,1705928904167801690,13.35300
task:2 waiting I/O,1705928904165770132,1705928904165770595,0.00000
task:3 doing I/O,1705928904155519814,1705928904169820191,14.30000
task:3 waiting I/O,1705928904167802400,1705928904167804527,0.00200
task:4 doing I/O,1705928904156664695,1705928904172042826,15.37800
task:4 waiting I/O,1705928904169820757,1705928904169821217,0.00000
task:5 doing I/O,1705928904157855314,1705928904174117552,16.26200
task:5 waiting I/O,1705928904172043389,1705928904172045338,0.00100
task:6 doing I/O,1705928904159042412,1705928904176184588,17.14200
task:6 waiting I/O,1705928904174117965,1705928904174118220,0.00000
task:7 doing I/O,1705928904160391509,1705928904178158087,17.76600
task:7 waiting I/O,1705928904176184960,1705928904176186810,0.00100
